Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF","CP_Elec_6.3x7.7",113.222947,-49.750509,180.000000,top
"C2","10uF","C_0805_2012Metric",125.742347,-48.994309,90.000000,top
"C3","100nF","C_0603_1608Metric",128.992347,-48.994309,90.000000,top
"C4","10uF","C_0805_2012Metric",132.992347,-48.994309,90.000000,top
"C5","100nF","C_0603_1608Metric",136.242347,-48.994309,90.000000,top
"C6","100uF","CP_Elec_6.3x7.7",199.492947,-47.470509,0.000000,top
"C7","4.7uF","C_0603_1608Metric",127.549574,-66.570509,180.000000,top
"C8","4.7uF","C_0603_1608Metric",130.849574,-66.570509,180.000000,top
"C9","4.7uF","C_0603_1608Metric",137.542947,-67.079309,90.000000,top
"C10","100nF","C_0603_1608Metric",139.012947,-67.083009,90.000000,top
"C11","100nF","C_0603_1608Metric",141.092947,-67.083009,90.000000,top
"C12","100nF","C_0603_1608Metric",142.592947,-67.083009,90.000000,top
"C13","100nF","C_0603_1608Metric",146.012947,-67.083009,90.000000,top
"C14","100nF","C_0603_1608Metric",147.512947,-67.083009,90.000000,top
"C15","100nF","C_0603_1608Metric",149.012947,-67.083009,90.000000,top
"C16","4.7uF","C_0603_1608Metric",153.539947,-67.076709,90.000000,top
"C17","100nF","C_0603_1608Metric",155.012947,-67.083009,90.000000,top
"C18","22uF","C_1206_3216Metric",85.792947,-81.470509,-90.000000,top
"C19","100nF","C_0603_1608Metric",89.202647,-81.220909,-90.000000,top
"C20","4.7uF","C_0603_1608Metric",107.497847,-82.966909,90.000000,top
"C21","100nF","C_0603_1608Metric",127.092947,-77.690509,180.000000,top
"C22","100nF","C_0603_1608Metric",133.762947,-74.833009,180.000000,top
"C23","4.7uF","C_0603_1608Metric",133.750947,-76.346909,180.000000,top
"C24","4.7uF","C_0603_1608Metric",133.747047,-77.853709,180.000000,top
"C25","100nF","C_0603_1608Metric",133.762947,-79.333009,180.000000,top
"C26","100nF","C_0603_1608Metric",133.763047,-80.861709,180.000000,top
"C27","100nF","C_0603_1608Metric",133.762947,-85.333009,180.000000,top
"C28","100nF","C_0603_1608Metric",161.764147,-75.961109,0.000000,top
"C29","100nF","C_0603_1608Metric",161.762947,-78.883009,0.000000,top
"C30","100nF","C_0603_1608Metric",161.762947,-80.383009,0.000000,top
"C31","100nF","C_0603_1608Metric",161.762947,-81.970511,0.000000,top
"C32","100nF","C_0603_1608Metric",161.767947,-83.470509,0.000000,top
"C33","4.7uF","C_0603_1608Metric",161.766747,-84.928809,0.000000,top
"C34","100nF","C_0603_1608Metric",170.831446,-81.228390,-90.000000,top
"C35","100nF","C_0603_1608Metric",188.099060,-81.393142,90.000000,top
"C36","4.7uF","C_0603_1608Metric",125.867947,-100.796109,180.000000,top
"C37","4.7uF","C_0603_1608Metric",129.392947,-100.796109,180.000000,top
"C38","100nF","C_0603_1608Metric",140.512947,-95.083009,-90.000000,top
"C39","4.7uF","C_0603_1608Metric",141.969047,-95.080809,-90.000000,top
